--0.0--i.e.-0/246158056----time (s)-0.0
--0.04428049269287372--i.e.-10900000/246158056----time (s)-641.62
--0.04448361421898782--i.e.-10950000/246158056----time (s)-644.55
--0.044686735745101916--i.e.-11000000/246158056----time (s)-647.37
--0.04488985727121602--i.e.-11050000/246158056----time (s)-650.31
--0.04509297879733012--i.e.-11100000/246158056----time (s)-653.55
--0.04529610032344422--i.e.-11150000/246158056----time (s)-656.29
--0.04549922184955832--i.e.-11200000/246158056----time (s)-659.27
--0.045702343375672416--i.e.-11250000/246158056----time (s)-662.02
--0.04590546490178652--i.e.-11300000/246158056----time (s)-665.0
--0.04610858642790062--i.e.-11350000/246158056----time (s)-667.73
--0.046311707954014715--i.e.-11400000/246158056----time (s)-670.54
--0.04651482948012882--i.e.-11450000/246158056----time (s)-673.23
--0.046717951006242917--i.e.-11500000/246158056----time (s)-676.35
--0.046921072532357014--i.e.-11550000/246158056----time (s)-679.1
--0.04712419405847112--i.e.-11600000/246158056----time (s)-681.94
--0.047327315584585215--i.e.-11650000/246158056----time (s)-684.9
--0.04753043711069931--i.e.-11700000/246158056----time (s)-687.87
--0.04773355863681342--i.e.-11750000/246158056----time (s)-690.67
--0.047936680162927514--i.e.-11800000/246158056----time (s)-693.37
--0.04813980168904161--i.e.-11850000/246158056----time (s)-696.15
--0.048342923215155716--i.e.-11900000/246158056----time (s)-698.89
--0.04854604474126981--i.e.-11950000/246158056----time (s)-701.76
--0.04874916626738391--i.e.-12000000/246158056----time (s)-704.78
--0.048952287793498014--i.e.-12050000/246158056----time (s)-708.05
--0.04915540931961211--i.e.-12100000/246158056----time (s)-710.98
--0.04935853084572621--i.e.-12150000/246158056----time (s)-713.86
--0.04956165237184031--i.e.-12200000/246158056----time (s)-716.76
--0.04976477389795441--i.e.-12250000/246158056----time (s)-719.76
--0.04996789542406851--i.e.-12300000/246158056----time (s)-723.37
--0.05017101695018261--i.e.-12350000/246158056----time (s)-726.34
--0.05037413847629671--i.e.-12400000/246158056----time (s)-729.41
--0.05057726000241081--i.e.-12450000/246158056----time (s)-732.3
--0.05078038152852491--i.e.-12500000/246158056----time (s)-734.93
--0.05098350305463901--i.e.-12550000/246158056----time (s)-737.81
--0.051186624580753105--i.e.-12600000/246158056----time (s)-740.58
--0.05138974610686721--i.e.-12650000/246158056----time (s)-743.47
--0.05159286763298131--i.e.-12700000/246158056----time (s)-746.27
--0.051795989159095404--i.e.-12750000/246158056----time (s)-748.99
--0.05199911068520951--i.e.-12800000/246158056----time (s)-752.01
--0.052202232211323606--i.e.-12850000/246158056----time (s)-755.04
--0.0524053537374377--i.e.-12900000/246158056----time (s)-758.71
--0.05260847526355181--i.e.-12950000/246158056----time (s)-761.64
